Id,age,death,population,remain,expectancy,sex
146,25,0.000598,98861,56.83,81.83,f
147,26,0.00063,98802,55.86,81.86,f
148,27,0.000666,98740,54.9,81.9,f
149,28,0.000707,98674,53.93,81.93,f
150,29,0.000753,98605,52.97,81.97,f
151,30,0.000803,98530,52.01,82.01,f
152,31,0.000853,98451,51.05,82.05,f
153,32,0.000905,98367,50.09,82.09,f
154,33,0.000956,98278,49.14,82.14,f
155,34,0.001009,98184,48.19,82.19,f
156,35,0.001069,98085,47.23,82.23,f
157,36,0.001134,97980,46.28,82.28,f
158,37,0.001199,97869,45.34,82.34,f
159,38,0.001263,97752,44.39,82.39,f
160,39,0.001329,97628,43.45,82.45,f
161,40,0.001403,97499,42.5,82.5,f
162,41,0.001491,97362,41.56,82.56,f
163,42,0.001597,97217,40.62,82.62,f
164,43,0.001724,97061,39.69,82.69,f
165,44,0.001871,96894,38.76,82.76,f
166,45,0.002033,96713,37.83,82.83,f
167,46,0.002212,96516,36.9,82.9,f
168,47,0.002417,96303,35.98,82.98,f
169,48,0.002651,96070,35.07,83.07,f
170,49,0.002911,95815,34.16,83.16,f
171,50,0.003193,95536,33.26,83.26,f
172,51,0.003492,95231,32.36,83.36,f
173,52,0.003803,94899,31.48,83.48,f
174,53,0.004126,94538,30.59,83.59,f
175,54,0.004462,94148,29.72,83.72,f
176,55,0.004829,93728,28.85,83.85,f
177,56,0.00522,93275,27.99,83.99,f
178,57,0.005612,92788,27.13,84.13,f
179,58,0.006,92267,26.28,84.28,f
180,59,0.006397,91714,25.44,84.44,f
181,60,0.006848,91127,24.6,84.6,f
182,61,0.007358,90503,23.76,84.76,f
183,62,0.007893,89837,22.94,84.94,f
184,63,0.008453,89128,22.12,85.12,f
185,64,0.009063,88375,21.3,85.3,f
186,65,0.009761,87574,20.49,85.49,f
187,66,0.010581,86719,19.69,85.69,f
188,67,0.011535,85801,18.89,85.89,f
189,68,0.012646,84811,18.11,86.11,f
190,69,0.013919,83739,17.33,86.33,f
191,70,0.015413,82573,16.57,86.57,f
192,71,0.017089,81301,15.82,86.82,f
193,72,0.018861,79911,15.09,87.09,f
194,73,0.020705,78404,14.37,87.37,f
195,74,0.022703,76781,13.66,87.66,f
196,75,0.025035,75038,12.97,87.97,f
197,76,0.027766,73159,12.29,88.29,f
198,77,0.030822,71128,11.62,88.62,f
199,78,0.034227,68936,10.98,88.98,f
200,79,0.038062,66576,10.35,89.35,f
201,80,0.042539,64042,9.74,89.74,f
202,81,0.047663,61318,9.15,90.15,f
203,82,0.053278,58395,8.58,90.58,f
204,83,0.059378,55284,8.04,91.04,f
205,84,0.066132,52001,7.51,91.51,f
206,85,0.073763,48562,7.01,92.01,f
207,86,0.082465,44980,6.53,92.53,f
208,87,0.09237,41271,6.07,93.07,f
209,88,0.103546,37459,5.64,93.64,f
210,89,0.115997,33580,5.23,94.23,f
211,90,0.129706,29685,4.85,94.85,f
212,91,0.144636,25835,4.5,95.5,f
213,92,0.160741,22098,4.18,96.18,f
214,93,0.177971,18546,3.88,96.88,f
215,94,0.19627,15245,3.61,97.61,f
216,95,0.214769,12253,3.37,98.37,f
217,96,0.233174,9622,3.16,99.16,f
218,97,0.251158,7378,2.96,99.96,f
219,98,0.268378,5525,2.79,100.79,f
220,99,0.284481,4042,2.63,101.63,f
221,100,0.30155,2892,2.48,102.48,f
222,101,0.319643,2020,2.33,103.33,f
223,102,0.338821,1374,2.19,104.19,f
224,103,0.359151,909,2.06,105.06,f
225,104,0.3807,582,1.93,105.93,f
226,105,0.403542,361,1.81,106.81,f
227,106,0.427754,215,1.69,107.69,f
228,107,0.45342,123,1.58,108.58,f
229,108,0.480625,67,1.47,109.47,f
230,109,0.509462,35,1.37,110.37,f
231,110,0.54003,17,1.27,111.27,f
232,111,0.572432,8,1.18,112.18,f
233,112,0.606778,3,1.09,113.09,f
234,113,0.643184,1,1.01,114.01,f
235,114,0.681775,0,0.93,114.93,f
236,115,0.722682,0,0.86,115.86,f
237,116,0.766043,0,0.79,116.79,f
238,117,0.807162,0,0.73,117.73,f
239,118,0.84752,0,0.67,118.67,f
240,119,0.889896,0,0.62,119.62,f
